epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.9018,1.61135,2.4125,1.98896,0.00952,0.43789,0.00728,0.002,3.1957,98.8928,6.16726,0.000548721,0.000548721,0.000548721
2,85.4842,1.68462,2.03838,2.0299,0.11655,0.09938,0.05763,0.01663,3.62957,7.66087,4.57422,0.00108252,0.00108252,0.00108252
3,129.045,1.69475,2.07627,2.04316,0.32953,0.18634,0.1682,0.07364,2.78205,7.91245,3.96582,0.00159432,0.00159432,0.00159432
4,172.35,1.69214,2.07178,2.0229,0.37059,0.37578,0.33988,0.17284,2.14153,3.05639,3.1927,0.00156798,0.00156798,0.00156798
5,215.616,1.60073,1.92012,1.95268,0.73501,0.31366,0.39661,0.2133,2.20605,2.24305,3.48917,0.00153497,0.00153497,0.00153497
6,258.524,1.55458,1.83318,1.90694,0.47604,0.48758,0.42325,0.20822,2.17566,2.44751,3.14418,0.00150197,0.00150197,0.00150197
7,299.294,1.48652,1.76496,1.87,0.63954,0.46584,0.53209,0.27732,2.06082,1.82488,2.61854,0.00146896,0.00146896,0.00146896
8,342.095,1.46628,1.67547,1.82889,0.58753,0.50311,0.54646,0.2795,2.00266,1.80843,2.68253,0.00143595,0.00143595,0.00143595
9,385.16,1.42641,1.66533,1.80459,0.81508,0.3882,0.53195,0.29005,1.80692,1.88349,2.64946,0.00140295,0.00140295,0.00140295
10,428.182,1.43124,1.67672,1.80577,0.54037,0.53673,0.48636,0.24891,1.89939,1.92114,2.48948,0.00136994,0.00136994,0.00136994
11,468.719,1.39868,1.63132,1.77028,0.52329,0.45963,0.46436,0.21127,1.9187,2.0772,2.7048,0.00133693,0.00133693,0.00133693
12,509.206,1.4176,1.62458,1.7944,0.59516,0.50932,0.53962,0.30327,1.85434,1.89665,2.52745,0.00130393,0.00130393,0.00130393
13,552.586,1.3809,1.52882,1.76227,0.53941,0.48736,0.50249,0.27929,1.74384,2.08275,2.37316,0.00127092,0.00127092,0.00127092
14,593.69,1.36358,1.55598,1.74272,0.56998,0.58075,0.57473,0.32189,1.74258,1.82555,2.37148,0.00123791,0.00123791,0.00123791
15,636.684,1.3538,1.53443,1.73204,0.52145,0.55901,0.52543,0.27786,1.74318,1.77943,2.38894,0.00120491,0.00120491,0.00120491
16,677.268,1.36644,1.51897,1.7474,0.67383,0.43628,0.52441,0.26386,1.91691,1.98086,2.65261,0.0011719,0.0011719,0.0011719
17,717.833,1.30886,1.46235,1.7094,0.80397,0.62411,0.69106,0.37203,1.70453,1.48631,2.31851,0.00113889,0.00113889,0.00113889
18,761.081,1.35987,1.46393,1.7321,0.70926,0.62422,0.69005,0.37935,1.74019,1.39722,2.30091,0.00110589,0.00110589,0.00110589
19,803.994,1.3211,1.41329,1.70261,0.61077,0.6118,0.61004,0.34512,1.72722,1.5811,2.30955,0.00107288,0.00107288,0.00107288
20,844.999,1.26925,1.39689,1.65631,0.60105,0.61801,0.62012,0.34862,1.68366,1.53704,2.2981,0.00103987,0.00103987,0.00103987
21,885.792,1.32188,1.45192,1.70343,0.68127,0.62733,0.64337,0.3542,1.65252,1.87914,2.27382,0.00100687,0.00100687,0.00100687
22,926.591,1.28849,1.37286,1.67738,0.59959,0.6118,0.61232,0.35507,1.65238,1.54215,2.27494,0.000973861,0.000973861,0.000973861
23,967.366,1.26158,1.35843,1.64845,0.66787,0.65217,0.65927,0.3845,1.64519,1.44395,2.20086,0.000940855,0.000940855,0.000940855
24,1010.6,1.25021,1.32473,1.65585,0.71086,0.64907,0.66706,0.3745,1.68734,1.44241,2.31467,0.000907848,0.000907848,0.000907848
25,1051.26,1.23713,1.34713,1.64164,0.76001,0.61959,0.68758,0.39464,1.66551,1.36926,2.26153,0.000874842,0.000874842,0.000874842
26,1094.36,1.25453,1.3442,1.65798,0.69111,0.59006,0.67084,0.37297,1.70746,1.3953,2.30771,0.000841835,0.000841835,0.000841835
27,1136.21,1.22286,1.27923,1.6255,0.70782,0.69565,0.71925,0.41493,1.59731,1.3114,2.23413,0.000808828,0.000808828,0.000808828
28,1180.57,1.24695,1.28639,1.64172,0.70957,0.69806,0.72292,0.43014,1.54017,1.33339,2.13499,0.000775822,0.000775822,0.000775822
29,1224.51,1.24201,1.24745,1.63461,0.74019,0.63354,0.71873,0.41878,1.59704,1.28833,2.16812,0.000742815,0.000742815,0.000742815
30,1266.29,1.21982,1.20364,1.60404,0.75658,0.66149,0.71558,0.42014,1.58801,1.34773,2.18951,0.000709809,0.000709809,0.000709809
31,1309.79,1.23256,1.23758,1.6198,0.62569,0.68525,0.6798,0.41118,1.56807,1.31364,2.14106,0.000676802,0.000676802,0.000676802
32,1353.95,1.22544,1.24057,1.60228,0.70612,0.67905,0.73776,0.43806,1.51811,1.26066,2.06957,0.000643795,0.000643795,0.000643795
33,1398.86,1.16156,1.16514,1.57001,0.75178,0.69876,0.75483,0.4328,1.59513,1.22084,2.17205,0.000610789,0.000610789,0.000610789
34,1439.85,1.18191,1.20124,1.59216,0.75251,0.65839,0.69834,0.42123,1.58497,1.2861,2.1478,0.000577782,0.000577782,0.000577782
35,1481.6,1.17199,1.15232,1.5677,0.67161,0.69876,0.72675,0.42817,1.5676,1.24368,2.10001,0.000544776,0.000544776,0.000544776
36,1524.19,1.1702,1.13802,1.57038,0.73181,0.75466,0.76325,0.45014,1.51342,1.2126,2.08841,0.000511769,0.000511769,0.000511769
37,1569.3,1.19427,1.16928,1.58071,0.69668,0.69876,0.7274,0.43853,1.52776,1.23698,2.08865,0.000478762,0.000478762,0.000478762
38,1611.75,1.16954,1.12803,1.55996,0.80316,0.72231,0.7593,0.45074,1.51011,1.16356,2.10583,0.000445756,0.000445756,0.000445756
39,1656.98,1.15024,1.14438,1.55791,0.77518,0.67702,0.75535,0.45128,1.52843,1.20922,2.11827,0.000412749,0.000412749,0.000412749
40,1701.57,1.14115,1.09716,1.55146,0.7148,0.73602,0.74146,0.45174,1.49972,1.19164,2.05437,0.000379743,0.000379743,0.000379743
41,1762.52,1.23301,1.12643,1.76638,0.78079,0.72981,0.781,0.47533,1.42567,1.16929,1.97904,0.000346736,0.000346736,0.000346736
42,1807.76,1.21478,1.0521,1.74637,0.81457,0.7094,0.77224,0.47918,1.45804,1.15251,2.01708,0.000313729,0.000313729,0.000313729
43,1853.56,1.20358,1.01484,1.72961,0.73717,0.70554,0.76491,0.45789,1.48328,1.15417,2.01576,0.000280723,0.000280723,0.000280723
44,1894.88,1.184,0.98486,1.70601,0.76805,0.74043,0.79363,0.47992,1.48581,1.10392,2.04819,0.000247716,0.000247716,0.000247716
